estou me sentindo um pouco podre, então não sou muito ambicioso agora; tristeza
gosto da sensação fresca de doce que ele me deu; alegria
eu me sinto tão confuso com tudo, talvez doente, apenas abandone minha postura virtuosa de lib e junte-se a georgie porgie; alegria
eu postei que tenho sentido a vibe casual na hora de se vestir; alegria
eu terminei o podcast não me sentindo exatamente deprimido, mas como se eu ainda não tivesse uma resposta concreta de como encontrar esse equilíbrio que os autores de auto-ajuda adoram falar; tristeza
não sei por que, mas estou apenas me sentindo delicada; amar
eu sinto o vil subindo na minha garganta levantando a tampa do vaso sanitário para deixá-lo sair; raiva
já posso sentir o espírito rebelde; raiva
sinto-me honrado em fazer parte da comunidade culinária aqui; alegria
não tenho vergonha de desejar o homem de ferro no meu cineworld local; amar
me sinto ingrata por querer mais, mas a verdade é; tristeza
eu me sinto meio vaidoso; tristeza
eu sinto que você tem como alvo o marcador de título da classe di em branco no del; tristeza
eu sinto que meus peixes podem ser moderadamente mais inteligentes do que a maioria dos peixes, pois notei que eles tendem a ir para o canto do tanque mais próximo do recipiente de comida de peixe e apenas olhar para ele; alegria
eu estava me sentindo inteligente, então mudei a última linha para cookies para você; alegria
admito que com a alegria de cozinhar também há momentos em que se sente derrotado; tristeza
finalmente estou começando a sentir que tenho uma vida real aqui em san vicente e não estou mais em uma estranha e confusa férias prolongadas; medo
eu sinto que mesmo que as coisas não estejam bem resolvidas com o meu curso eu ainda tenho paz sobre isso; alegria
sinto vergonha de você; tristeza
eu me sinto mal pra caralho olhando para as outras garotas; tristeza
fico muito irritado quando falo dos meus problemas e as pessoas começam a falar dos deles; raiva
eu estava sentindo saudades do café da manhã anual de páscoa e do culto na igreja esta manhã quando saímos para caminhar até o precipício do monte para o nascer do sol; tristeza
não sei quanto a você, mas isso me faz sentir generoso; alegria
já estou me sentindo muito festivo este ano, embora seja apenas novembro; alegria
sinto-me impotente para recuperar uma sensação de segurança; tristeza
eu ainda estava me sentindo hesitante na noite passada, mas quando acordei descobri que tinha tomado minha decisão e que o slatebook um pouco para minha surpresa era o que eu queria; medo
eu sinto que deve ser determinado por mim e minhas ações e ninguém ou nada mais; alegria
pensei que ficaria apreensivo com isso fiquei surpreendentemente confortável enquanto ele estava fora; medo
sinto-me esgotado e fisicamente dolorido pelo trabalho que fiz; tristeza
eu com certeza apreciei ela perguntando em vez de apenas me sentir brava ou magoada porque ela achava que eu estava; raiva
eu li a música dele eu sinto tanto orgulho de pensar que dei à luz essa criança incrivelmente talentosa que um dia quando ele estava no início da adolescência pegou um violão e tocou como se fosse uma segunda natureza; alegria
não quero que os outros se sintam infelizes só porque têm que se acomodar comigo; tristeza
sou um escritor prolífico em meu fandom, mas não sinto que sou tão respeitado pelos colegas escritores como já fui, porque escrevo tanto e com a frequência que a maioria das pessoas não consegue; alegria
me sinto só quem me faz sentir especial quando me sinto inútil quem sempre é gentil e doce comigo; tristeza
tenho a sensação de que ficarei insatisfeito várias vezes; raiva
sinto um toque suave e encontro a florzinha me observando sua expressão grave; amar
estou me sentindo inquieto e frustrado agora, dessa forma específica para pessoas que estão se recuperando de uma doença ou lesão; medo
sinto-me honrado que um homem tão grande me reivindique como seu amigo; alegria
vou queimar por você sentir dor por você vou torcer a faca e sangrar meu coração dolorido e rasgá-lo em pedaços vou mentir por você implorar e roubar por você vou rastejar de quatro até você ver que você é igual a mim; tristeza
me sinto desconfortável em contar aos outros o que está nas listas de desejos das meninas; medo
eu não posso fazer uma simples questão de matemática e adivinhar o que eu quebrei na frente do meu professor que eu conheço há quase anos agora me sentindo pressionado e me sinto tão mal comigo mesmo; medo
sinto-me em dúvida quanto às minhas capacidades; medo
tenho me sentido muito apático ultimamente; tristeza
eu disse no começo que tenho pele mista oleosa, mas ainda uso isso uma vez por semana porque minha pele está absolutamente linda na manhã seguinte à aplicação; alegria
tenho que ser honesto e dizer que os dois primeiros capítulos meio que me sobrecarregaram e eu não tinha certeza se conseguiria acompanhar tudo e estava me sentindo meio idiota; tristeza
eu deito aqui digitando esta entrada de blog de ódio que ninguém leria embora eu queira que o mundo inteiro leia e me elogie como idiotas eu me sinto tão miserável; tristeza
não consigo olhar por muito tempo sem me sentir deprimido; tristeza
não estou me sentindo tão generoso e ele é mandado para o sofá, onde fica me encarando pelas próximas seis horas; alegria
eu realmente não acredito porque eu andei por todas as paradas de água na minha primeira maratona e eu realmente não acho que andar é ruim, mas caramba eu estava me sentindo teimoso e eu queria chegar em casa e precisava ser motivado por algo; raiva
acredito firmemente que a única maneira de fazer esse ofício é escrever o livro pelo qual você se sente apaixonado e não se preocupar em encontrar o livro que o público de massa deseja; alegria
eu sempre tenho aquela sensação de que eu tenho um filho mais do que outro e isso é vicioso; raiva
faço aquilo de que me envergonho; tristeza
eu não quero ferir os sentimentos de ninguém e eu certamente não quero trair nenhuma confiança, mas eu quero entreter e eu quero ser fiel a mim mesmo meus pensamentos e os tópicos em questão; amar
sinto como se tivesse apenas aceitado o que foi feito e que, não importa o tempo que tenha passado, sempre estará comigo; alegria
eu era uma menina de um ano que só queria se sentir importante; alegria
eu vejo todos os meus amigos postando fotos e atualizações de status de onde eles estão indo ou o que eles estão fazendo e eu sinto um pouco de inveja sabendo que não é algo que eu possa sair e curtir; raiva
tenho fortes sentimentos sobre ser fiel; amar
suponho que todos nos sentimos um pouco inibidos quando se trata de pegar o telefone e ligar para alguém de quem não somos mais próximos; tristeza
usei essa palavra apenas para sentir a energia da antecipação enquanto as pessoas preparam suas deliciosas refeições e reúnem suas ferramentas necessárias para quando convidarem seus entes queridos para suas casas; alegria
eu poderia fazê-lo simplesmente porque eu não conseguia manter minha boca fechada me faz sentir terrível; tristeza
sinto apenas uma dor incômoda por algumas horas ou um dia no meu peito; tristeza
vejo pessoas que se parecem fisicamente comigo sinto-me confiante para iniciar conversas com estranhos; alegria
estou me sentindo um pouco mal-humorada hoje; raiva
eu me sinto tão curiosa com o que esse médico loiro planeja fazer esta noite; surpresa
eu me sento e me sinto mal com isso quando Miles começa a apalpar quem quer que esteja debaixo das costas atrás de uma caixa de cigarros; tristeza
não sei se é a frescura de ambos mas sinto-me mais enérgico durante estas estações; alegria
estou me sentindo mal-humorado um href http fazendo um oitenta; raiva
eu me sinto triste, mas estou bem com isso estou feliz por ter feito isso, embora doa um pouco; tristeza
eu sinto que ele é um ator fantástico; alegria
sinto que tudo vai acontecer sem mim e que estive desiludido esse tempo todo; tristeza
sinto-me inquieto em minhas próprias atividades; medo
senti que tinha um ligeiro amargor no final que prejudicou a sua oleosidade na boca e a entrada doce; alegria
acordei e me senti triste de novo, mas isso foi rapidamente substituído por um sentimento que me garantiu que as coisas se resolveriam no seu próprio tempo; alegria
eu me sinto bastante relutante em pegar um livro de dança com dragões porque uma vez que eu termine com isso quem sabe quanto tempo eu teria que esperar para martin terminar sua próxima parcela ele levou anos para lançar uma dança com dragões depois de um banquete para corvos; medo
eu estava tentando demonstrar que entendia o que ela estava sentindo, mas ela estava muito alarmada e preocupada com minha segurança; medo
eu sinto que ele é muito mais brincalhão comigo do que com outras garotas que eu sei que ele é amigo; alegria
eu precisava de algum espaço que eu precisava para crescer eu estava no meio de uma mudança séria e ok, sim, eles também feriram meus sentimentos muito mal e eu era um pouco rancoroso; raiva
me sinto muito enganada pois estou sustentando a família e fazendo todas as outras coisas enquanto ele passa horas por dia jogando; alegria
continuo me sentindo tão contente com nossa decisão de nos mudarmos para cá; alegria
não posso evitar de me sentir sobrecarregado e ansioso com isso; tristeza
eu não vou mentir esta semana foi um pouco difícil para mim eu tenho me sentido muito estressado e ansioso esta semana mais eu acho que estou ficando gripado, mas definitivamente me ajudou a apreciar as pequenas coisas; raiva
eu meio que fico muito apegado e animado quando me sinto assim e nunca lido com as coisas tão bem quanto os outros fariam; alegria
eu comecei a me sentir desconfortável e me levantei para sair, o que foi recebido com comentários de oh yeah, certo, duas garotas como você não iriam a um bar se você não estivesse procurando a atenção dos caras; medo
quase nem me senti convencida pela forma como o livro foi escrito; alegria
estou me sentindo corajosa, vou pegá-lo no meu colo e depois de alguns segundos de luta ele relaxa completamente e se submete aos arranhões da mamãe; alegria
eu sinto que os caçadores furtivos e outros que matam animais por suas peles de marfim ou outras partes devem ser punidos severamente. Acho a caça e a pesca cruéis; tristeza
me sinto vazio depois de traído em nome da amizade fui quebrado; tristeza
tenho certeza de que irei além disso; alegria
estou precisando de alguma orientação extra e estou me sentindo duvidoso que Deus parece colocar a mensagem certa no meu ouvido de que preciso no momento certo; medo
eu apenas me sinto insultado oh oh oh para o meu exexbf estou tão totalmente completamente sobre você; raiva
estou me sentindo realmente muito sarcástica cáustica ou houve um influxo de idiotas em minhas vidas diárias; raiva
sinto que só posso esperar que não esteja sozinho nesses pensamentos e tenho certeza de que todos vocês, colegas estudantes de intercâmbio, provavelmente têm os mesmos pensamentos em mente com pelo menos alguns dos itens listados, alguns podem dizer que ser um estudante de intercâmbio é diferente de qualquer outra experiência; tristeza
eu sinto que anna ji é um pouco teimosa em jan lokpal bill e os protestos relacionados a ele; raiva
eu escuto me sinto toda rebelde; raiva
sinto que sou menos mulher menos uma pessoa menos valiosa porque não sou casada e não namoro; alegria
eu estava me sentindo muito perturbada e deprimida com o que meu pai disse; tristeza
id me sinto frenético; medo
aprendi a apresentar na frente de uma classe sem me sentir nervoso; medo
também sinto falta da velha criança curiosa dentro de mim só sinto que a criança curiosa dentro de mim está morrendo lentamente com o choque de saber que o mundo não é tão bonito quanto pensávamos; surpresa
estou me sentindo contente e feliz comigo mesmo; alegria
sinto que estamos recebendo um excelente treinador e pessoa recrutadora de basquete; alegria
acabei de voltar de outro quilômetro mais rápido do que ontem e estou me sentindo incrível; surpresa
estou me sentindo aventureiro, posso até fazer vários níveis também; alegria
não diria que sofro de desconforto social no momento porque encontrei lugares onde me sinto confortável e até pessoas que me aceitaram do jeito que sou; alegria
eu estava me sentindo bem naquela noite e ela acertou; alegria
não estou sentindo o amor por mim mesmo e isso se torna um círculo vicioso, resultando em me sentindo preguiçoso complacente e, em geral, apenas desmotivado; raiva
não posso escrever uma resenha de um livro que adoro a menos que esteja me sentindo no clima de adoração naquele momento; amar
estou me sentindo muito insegura e sensível; medo
eu me sinto tão inútil alguns dias; tristeza
eu me sinto o menos amado e o menos amado; tristeza
me sinto especial a href http facsimilogos; alegria
eu me sinto muito forte em não fazer um sorteio para ganhar números; alegria
sinto-me muito honrado por fazer parte desta prova inaugural e dá para sentir o orgulho que os corredores locais estão por poder mostrar os seus trilhos e acolher este evento; alegria
eu sinto que você pode parar de ser tão desagradável e pensar por mim pelo menos; raiva
eu não sentia nenhum amor e carinho agora; amar
sinto-me um pouco ingrata por não ter escrito nada sobre ele na semana passada; tristeza
atrevo-me a tentar explicar em palavras o que sinto por esse menino lindo que está aqui na minha casa todos os dias segurando minha mão nos desgostos da vida; alegria
eu estava me sentindo meio inquieto; medo
estou me sentindo um pouco insatisfeito; raiva
eu me sinto tão impotente agora; medo
sinto que percorri um longo caminho e estou orgulhoso do que alcancei não só esta semana, mas também este ano; alegria
eu estava me sentindo muito ansiosa por essa música tocar no rádio assim que eu entrei no carro; medo
sinto-me entorpecido o fim do mundo como o conhecemos e sinto-me entorpecido a href http leslielandberg; tristeza
eu estava tendo um ano terrível de corrida e me sentia exausto o tempo todo; tristeza
estou passando por provações ou apenas me sentindo incomodado com algo que amo colocar música de adoração enquanto estou dirigindo e realmente penso nas palavras cantar e orar enquanto vou; tristeza
não consegui fazer muitas coisas que a maioria das pessoas conseguiu fazer em vários pontos de suas vidas sinto que perdi muito na vida e sei que meu caminho atual é meu único ingresso para viver uma vida que eu quer; tristeza
estou me sentindo esperançoso e aliviado; alegria
sinto que posso ter perdido o trem de treinamento do penico; tristeza
estou com medo de ligar para o cara de ontem porque acho que ele vai ficar bravo porque acho que meu chefe está bravo porque não me comunico com ele e sinto que estou fazendo um trabalho de merda e projeto meus medos nele; tristeza
eu sempre me sinto tão aborrecido pela manhã; tristeza
estou sem palavras para lhe contar minha dor agonizante. Sinto em meu próprio coração triste, meu coração de trevas; tristeza
eu sinto que me ataca e é rude; raiva
eu me sinto grogue e fora de controle por causa do meu episódio, sem contar o fato de que eu fiquei com medo na noite passada; tristeza
sei que não será um piquenique e não me sentirei derrotado se tiver minha primeira contração e imediatamente decidir fazer a epidural ou se for induzida ou tiver que fazer uma cesariana ou o que quer que seja; tristeza
eu sinto que é de vital importância e estresse que demonstremos amor um pelo outro e amor genuíno, por favor, as pessoas sintam-se à vontade para serem frias comigo não gosto de ser enganado; alegria
eu me sinto um pouco calmo agora; alegria
estava me sentindo corajosa, tentaria voltar a correr; alegria
tenho asma e quando mal consigo respirar quando é difícil sinto-me muito trêmulo e fraco tenho vontade de não fazer nada mas deito ali impotente e tenho vontade de entrar em colapso fiz tanta pesquisa e não consegui nada; medo
caminhei sob o refúgio sentindo que era o abrigo perfeito de uma tempestade; alegria
acho que ajuda a deixar de lado a vontade própria dizendo que sua vontade seja feita, não a minha ou quando estou me sentindo particularmente impaciente no tempo de Deus, não no meu tempo; raiva
novamente não estou inspirado e depois de olhar para as ideias e imagens sinto que não as aprecio mais tornam-se inúteis e puramente guiadas pela habilidade não tendo nada a ver com o pensamento; tristeza
eu me torno outra pessoa e faço piadas estranhas aleatórias honestamente esse sentimento é tão estranho é isso que é estar no topo de uma nuvem; medo
espero conseguir o emprego porque estou precisando desesperadamente de dinheiro e me sinto ganancioso; raiva
eu sinto que sou odiado pela maioria das garotas é porque sou uma boa dançarina; tristeza
eu sinto que viver em austin foi muito legal de outras maneiras; amar
eu acho que seria mais fácil se eu tivesse pais que discutissem comigo sobre isso, então eu poderia me sentir rebelde ou algo assim, mas agora eu me sinto um fardo; raiva
acho que estou a compensar a sensação de saudades do outono e das suas cores fantásticas; tristeza
culpei as pessoas ao meu redor por me fazer sentir menos valorizada por ser uma dona de casa; alegria
eu sinto que este fim de semana vai ser uma sacanagem; amar
tenho a impressão de que o banjo estava realmente sentindo isso, mas Molly ainda prefere seu amado katy Perry ronronar; amar
eu não consegui pregar peças em ninguém durante todo o dia porque eu estava muito ocupado ou não estava me sentindo criativo; alegria
eu gostaria que ele e eu pudéssemos sair e eu pudesse fazer meu cabelo e maquiagem e me sentir bonita e flertar e conversar e outras coisas, mas isso nunca ocorre; alegria
estou me sentindo particularmente otimista hoje e tenho todos os motivos para esperar coisas incríveis em; alegria
eu sinto que os livros são sempre um presente maravilhoso para um bebê; alegria
eu disse a ele que estava disposta a fazer o que fosse preciso para não ter que me sentir tão horrível todos os dias; tristeza
eu estava me sentindo frio em relação ao meu parceiro, embora eu não achasse que me apresentava dessa maneira, eu sentia que tinha que fingir meus sentimentos por ele e que eu não o amava mais; raiva
eu me sinto bem que deve ser a razão pela qual foi tão escandalosamente caro; alegria
eu realmente me sinto superior; alegria
eu sinto que essa linha é tão perfeita; alegria
deito-me ele sente a minha barriga ouve os batimentos cardíacos do bebé fica zangado comigo por me sentar primeiro sem rolar para o meu lado e depois diz-me que há alguma proteína na minha urina mas não há nada para me preocupar e pergunta se algo está a incomodar-me; raiva
saí me sentindo absolutamente devastado; tristeza
não tenho que me enrijecer, não tenho que lutar por mim mesmo ou me sentir mal por me comportar da maneira que naturalmente me comporto; tristeza
trabalho bem com quase todos os clientes com os quais entrei em contato porque sei o que significa sentir-se deprimido com raiva frustrado irritado sem esperança e apático porque sinto isso diariamente; tristeza
ouço alguém dizer que devemos deixar os jardineiros fazerem o que quiserem. Sinto-me bastante irritado; raiva
estou me sentindo tão grata por cada experiência em minha vida que me trouxe até hoje; alegria
sinto carinho por ele; amar
eu me sinto realmente uma merda e é sério como se a coisa toda estivesse arruinada; tristeza
sempre sinto que o amor é algo muito mais vasto e se pudéssemos explorá-lo juntos talvez eu devesse então fazer da minha vida algo que valesse a pena antes que seja tarde demais; alegria
me sinto inútil com apenas um bacharel e mestre; tristeza
parei e comecei a dizer a mim mesma o que eu queria sentir que estou em paz; alegria
eu agia retraído e frio em relação aos outros em situações que exigiam empatia não é que eu não me importe eu apenas nem sempre sinto os sentimentos então eu finjo; tristeza
sinto que acertei o casamento e as partes da casa da minha vida e estou feliz e contente como posso estar nesses aspectos; alegria
eu apenas digo às pessoas que me sinto como uma doce bagunça sulista agora; alegria
eu sinto que as pessoas com plantações tenras que podem ter sido estabelecidas muito cedo podem realmente cair abaixo de zero nas próximas noites; amar
eu realmente me sinto chateado porque quero passar mais tempo com você; raiva
eu me sinto calmo e bem, mas às vezes eu fico tão triste; alegria
saí para fechar as galinhas e fui tentado pelo brilho das estrelas a caminhar pelos campos congelados sentindo muito frio olhando para o céu; raiva
estou me sentindo um pouco letárgico; tristeza
também me sinto apaixonado por ensinar; amar
acordei me sentindo um pouco perturbado; tristeza
eu tenho que levar Jenny para ser castrada, então é claro que estou me sentindo nervosa e culpada; medo
recebi uma mensagem um pouco atrasada de daniel e me sinto muito mais segura de que não sou o único que pensa que sou emocionalmente insensível; alegria
eu já havia encontrado antes e por mais que esses sonhos me emocionassem, eles me deixaram ainda mais aterrorizado; medo
eu trabalho como um louco fazendo coisas extras em casa ou me voluntariando e servindo outras pessoas na tentativa de me sentir produtivo e útil para alguém por favor; alegria
comecei a questionar deus me sentindo inútil e até com ciúmes dos outros que vêm pela paternidade tão facilmente; tristeza
não posso deixar de sentir curiosidade sobre isso; surpresa
estou me sentindo tão agradecido hoje; alegria
eu me sinto meio mal-humorada e mal-humorada eu preciso tentar tirar uma soneca; raiva
eu me recusei a comprar qualquer desta vez eu gostei de sentir espremer e projetar todo o fio divino; alegria
eu sinto que ele adiciona um pouco mais de proteção contra o frio e o tecido é ótimo para absorver o suor; raiva
sinto-me muito mais relaxado para esta corrida; alegria
eu sinto que isso precisa de um título inteligente, mas não consigo pensar em um; alegria
eu me sinto meio envergonhado comigo mesmo; tristeza
eu senti como se eu tivesse desenvolvido sentimentos por esse cara, explicando por que eu segui esse cara como um cachorrinho fiel e ele nunca soube; alegria
eu me sinto tão distraído na maioria dos dias; raiva
eu sempre sinto simpatia por aqueles que fazem bem porque a vida pode ser muito difícil para você às vezes quando você tem muito orgulho; amar
não tive nenhum ferimento grave ou contratempo além daquela infecção no meu pé há alguns meses, mas notei que meus joelhos e a parte interna do pé começaram a doer e ficarem sensíveis durante as corridas mais longas; amar
eu sinto que nove vezes, desde que você esteja determinado e interessado, isso tende a dar certo de qualquer maneira; alegria
estou me sentindo absolutamente incrível; surpresa
tomei uma dose de terbutalina que faz você se sentir trêmulo e faz seu coração disparar como se tivesse acabado de beber xícaras de café; medo
eu estava estressado com minha procura de emprego e procura de apartamento e estava me sentindo sobrecarregado com tudo o que estava acontecendo; medo
tenho me sentido muito bravo com isso; raiva
não fico doente no inverno com muita frequência desde que parei de fumar anos atrás, tão raramente, na verdade, que agora, quando fico doente, sinto-me indignado com o pensamento racional; raiva
estou me sentindo toda romântica, então pensei em mostrar alguns presentes fáceis de última hora e idéias de moda para o dia dos namorados; amar
me sinto tão inquieto, tão entediado e corro o risco de desistir de ser bom no trabalho; medo
eu preciso intensificar meu jogo, mas estou apenas sentindo que não posso ser incomodado; raiva
eu me sinto indesejável; tristeza
sinto-me tão desconfortável agora como se estivesse carregando um volvo, mas minha barriga está bonita e arrumada e não parece muito diferente da barriga de cerveja que meu pai tem legal, dura e redonda e eu bamboleio como ele; medo
estou feliz em relatar que ainda não estou me sentindo muito estressado; tristeza
eu me sinto mais leal ao micah; amar
sinto que é de vital importância que aqueles que se preocupam comigo saibam dessas coisas; alegria
eu me senti um pouco estranha naquele traje; medo
eu não queria passar meus dias trabalhando em um emprego que eu não gostava ou chegar em casa me sentindo estressada e cansada e não poder dar a minha filha a atenção que ela merecia; raiva
notei que meus dedos das mãos e dos pés ficam muito frios e quase entorpecidos; tristeza
i sempre comprar um par de lombos de porco quando eles vão na venda e quando eu estou sentindo i inteligente cortá-los ao meio e guardá-los em ziplocks tamanho do galão com uma marinada e enchê-los no congelador; alegria
eu me sinto tão decepcionado por você que você me deu como certo; tristeza
eu sinto que tudo o que eu espero que se torne um pilar na minha vida eu me agarro eu me desprezo por me apegar a algo como uma porra de um bebê sem esperança; tristeza
não sei, mas me sinto virtuoso, então aceito a recompensa; alegria
sinto que não posso ficar realmente empolgado para esta corrida porque não tenho ideia se serei ou não capaz de correr; alegria
geralmente acabo sentado na minha mesa me sentindo como se estivesse no trabalho, mas apenas fazendo tarefas sem importância ou navegando na internet; tristeza
eu me sinto como uma mãe de um ser humano estável inteligente e compassivo; amar
me sinto elegante em um vestido; alegria
ainda sinto que ainda há muito para me manter entretido; alegria
eu não estava me sentindo mal o suficiente tia Flo decidiu aparecer e estou inchada como um balão; tristeza
eu estava me sentindo extremamente ansioso, então entrei no meu quarto para ler minha bíblia e orar; medo
escrevo isso, dou risadinhas e balanço a cabeça com vergonha, mas de certa forma me sinto um pouco triunfante; alegria
eu disse algo familiar como eu adoraria estar presente com você agora e me sinto muito ansioso com o tempo; medo
Escrevo este post sinto-me extremamente feliz por comprar um cantinho neste mundo blogger; alegria
não sei mais como descrevê-lo, a não ser dizer que tive a mesma sensação cerca de três semanas antes de minha amada avó falecer; alegria
tenho aprendido e re-aprendido a lição de que não importa o que eu sinta sobre mim mesmo ou mesmo como os outros possam sentir sobre mim, sou estimado por Deus; amar
conheço a sensação de ela perder o controle contra mim e confiar em mim para pegá-la quando ela se desintegrar; alegria
eu disse antes, sinta-se à vontade para entrar em contato comigo, isso é algo que estou interessado em saber mais; alegria
deito na cama sabendo que o espírito santo tem que fazer o trabalho, mas me sinto sobrecarregado por não estar trabalhando o suficiente; tristeza
eu me sinto sobre o quão bem sucedidas minhas tentativas estão começando a me conectar com o fato de que as pessoas querem ouvir música e não perfeição seja lá o que for; alegria
eu sinto que ele tem uma presença muito agradável e quase transparente na lobélia, embora essa presença fosse necessária mesmo assim; alegria
eu não posso sentir nada como eles disseram por que tudo sempre dói tanto; tristeza
tenho uma sensação grave de que não voltará até amanhã e, estranhamente, aceitei; alegria
eu tinha sido abençoado por estar correndo pela milésima vez como eu não poderia estar sentindo nada além de grato pelos muitos presentes que esta corrida me deu; alegria
sugiro que você dê uma olhada neles quando sentir curiosidade o suficiente para saber mais coisas sobre palavras específicas em inglês relacionadas a doenças familiares; surpresa
digito essas palavras sinto que não deveria me surpreender; surpresa
sei que o otário está lá em cima e me sinto triunfante; alegria
pretendo fazê-lo obtendo um mba e a partir desse programa de mba sinto que os resultados mais valiosos que gostaria; alegria
eu me sinto um pouco solitário apenas escrevendo isso porque não é cara a cara com alguém e não consigo obter feedback; tristeza
eu tenho alguns grandes amigos e grandes companheiros de casa que ouviram como me sinto e me lembrou que a sua tão sem importância e que eu deveria aproveitar minha vida e ser orgulhoso de mim mesmo; tristeza
Quando eu soube que meu melhor amigo tinha falhado os exames; raiva
eu havia dito a Gerry ontem que, se me sinto isolado, a culpa é minha; tristeza
eu sinto esses dias vivendo com medos apenas mais uma maneira de morrer antes do seu tempo, então hoje estou me declarando destemido; alegria
comecei a sentir que estava enlouquecendo, pois tinha certeza de que podia ver estrelas flutuando na água, mas sempre que ia pegar uma não dava em nada; raiva
eu basicamente passei uma noite miserável chorando e me sentindo aterrorizada e doente do estômago; medo
estou me sentindo nos últimos dias um pouco angustiado por não escrever tanto aqui; medo
estou me sentindo alegre e quente por dentro, mas me sinto vazia; alegria
eu só queria ler livros, assistir tv e me sentir miserável; tristeza
eu estava com um pouco de medo de tentar comer essa maldita coisa; medo
eu me sentir indesejada em seu apartamento certamente não; tristeza
cuidei de mim evitando eventos familiares que me fazem sentir uma merda; tristeza
fiz uma varredura corporal e percebi que tudo estava incrível; surpresa
me sinto muito mais energizado do que em um dia chuvoso de outono sombrio; tristeza
tenho certeza de que me sentirei bem pela manhã; alegria
olho para os outros e sinto ciúmes; raiva
eu me sinto como um bastardo imbecil; tristeza
eu não me importo se algum de vocês ler isso, mas isso é apenas o que eu sinto quando estou perto de vocês, eu me sinto odiado; tristeza
eu sinto a pressão de ser engraçado o tempo todo; surpresa
estou bem com ela se casar no estilo relâmpago no tribunal e ir para o Kentucky para morar com ele, mas ainda estou me sentindo magoada com a traição e o estilo secreto que ela adotou; tristeza
eu sinto que é a questão mais importante como lidaríamos com isso; alegria
me sinto tão bonita neles que não importa o quão pouco glamourosa seja a tarefa; alegria
pude sentir o sincero entusiasmo de todas as pessoas que se envolveram neste projeto; alegria
sinto remorso pelos crimes que foram cometidos intencionalmente ou não e se eu sabia ou não; tristeza
não consigo entender como me sinto não estou devastada como estava com Lucy e não tenho certeza se é porque é mais fácil de fazer depois da primeira vez ou o quê; tristeza
estou me sentindo deprimido xingando minha sorte; tristeza
eu me sinto verdadeiramente de coração partido que os fãs de hyun joongs podem ser tão odiosos; tristeza
sinto-me culpado por não poder dar a este pequenino a mesma quantidade de tempo só comigo; tristeza
eu sei que ele tratava todo mundo dessa maneira, seu amor parecia sem limites, mas ele também me fazia sentir importante; alegria
estou me sentindo um pouco ansioso com a coisa toda; medo
tenho certeza de que é uma celebração dos vários tons de vermelho por aí me sinto insultado; raiva
eu estava, no entanto, totalmente petrificado de senti-lo morrendo de medo de ceder e liberá-lo e com medo de não ser capaz de capturá-lo novamente; medo
sei que me sinto vulnerável; medo
tenho me sentido tão melancólica e sozinha; tristeza
estou me sentindo exponencialmente mais inútil na fazenda a cada dia que passa; tristeza
gostaria de salientar que realmente poderia ter usado um pouco mais de atenção no aspecto da escrita, pois parece um pouco maçante em alguns lugares; tristeza
eu adoro um bate-papo caloroso onde eu quero dizer tudo o que eu digo e rir do fundo do coração não porque eu quero deixar a pessoa se sentir entretida; alegria
sei também que se hoje me recuso a odiar judeus ou qualquer outra pessoa é porque sei como é ser odiado; tristeza
tenho aquela sensação daquela faísca e não tenho certeza para onde ela está indo ou se algum dia se transformará naquela chama; alegria
rolo minha língua sobre seus lábios chupando e mordiscando puxando sua carne em minha boca e deixando você sentir o delicado beliscar dos meus dentes; amar
eu me sinto tão frustrada porque tive um longo dia de semana e realmente não tenho muito descanso e agora ele continua entrando no quarto; raiva
sinto que fui negligente; tristeza
me sinto uma blogueira chata ultimamente; tristeza
logo percebi que uma atração inicial por uma atividade que parece lúdica é muitas vezes seguida por um desejo de praticar para aperfeiçoar o talento que levou ao prazer original; alegria
sempre sinto um pouco de inveja do meu filho porque quando entrei na igreja fui quase direto para as moças então não aprendi as músicas primárias; raiva
eu sinto que vale a pena e é uma carreira sábia; alegria
eu ainda sinto que há mais do que o suficiente para me manter entretido enquanto ainda são apenas alguns para manter a poeira; alegria
nem sempre sinto que tenho um estilo incrível e na maioria dos dias escolho conforto em vez de qualquer outra coisa, mas há uma coisa que sinto que faz toda a diferença em como me sinto sobre mim mesma e isso é maquiagem; alegria
me sinto entorpecido não sinto nada por causa do entorpecimento e de mim sempre sinto que algo vai dar errado; tristeza
já estou me sentindo chorosa; tristeza
eu olho e para meu horror eu vejo um homem segurando a porta do elevador aberta ao invés de se sentir aterrorizado ou mesmo mandando o cara sair do elevador eu imagino o elevador mastigando ele como um pacman metálico não pacquiao o outro cara amarelo; medo
eu não precisei dos remédios para dor talvez eu relaxe com um pouco de vinho me sentindo todo elegante como; alegria
me sinto virtuosa e durão quando uso chapéu jeans e camiseta sem me preocupar; alegria
discordo de meus pais em muitas questões e, às vezes, deixo que eles conheçam meus sentimentos de maneiras rudes; raiva
eu fico sem um novo post, mais culpado me sinto por deixar todos os meus fiéis leitores no escuro sobre o meu progresso nesta busca maluca que iniciei dias atrás; amar
sinto tanta vontade de provar ao meu amigo que não sou assim; alegria
tenho que admitir que sinto um pouquinho de inveja dos meus amigos que moram lá; raiva
sinto-o tão facilmente como uma chuva suave que aquece a terra e traz risos e alegria a todos aqueles que se detêm para tomar conhecimento de tal bênção; amar
